carat,cut,depth,table
0.71,Premium,60.6,58.0
0.91,Premium,59.5,62.0
0.9,Premium,59.8,62.0
0.71,Premium,61.5,62.0
0.71,Premium,59.1,61.0
0.72,Premium,60.9,60.0
0.73,Premium,60.8,55.0
0.96,Premium,61.3,58.0
0.8,Premium,61.2,53.0
0.95,Premium,58.4,57.0
0.82,Premium,59.7,57.0
0.96,Fair,68.2,61.0
0.79,Premium,61.0,58.0
1.08,Premium,61.9,60.0
0.52,Premium,61.8,60.0
0.64,Premium,62.1,58.0
0.73,Premium,61.3,59.0
1.04,Premium,61.6,61.0
0.9,Premium,62.8,59.0
1.0,Fair,65.5,62.0
0.9,Fair,65.7,58.0
0.9,Premium,61.8,58.0
0.9,Fair,65.3,61.0
0.9,Fair,65.8,56.0
0.9,Premium,60.9,61.0
0.78,Premium,62.6,58.0
0.71,Premium,61.2,59.0
0.7,Premium,59.0,59.0
0.7,Premium,60.8,62.0
0.7,Premium,61.8,58.0
0.7,Premium,62.9,59.0
1.0,Fair,67.7,60.0
1.0,Fair,65.5,55.0
1.0,Fair,66.3,61.0
1.0,Fair,69.5,55.0
0.73,Premium,62.6,60.0
0.79,Premium,60.6,53.0
0.63,Premium,60.3,62.0
0.7,Premium,60.4,60.0
0.71,Premium,62.7,58.0
0.72,Fair,56.9,69.0
1.05,Premium,62.0,59.0
0.73,Premium,59.9,58.0
0.88,Fair,56.6,65.0
0.73,Premium,58.7,57.0
0.9,Fair,65.0,61.0
1.03,Fair,65.3,55.0
1.01,Premium,62.7,60.0
0.8,Fair,56.3,63.0
0.9,Fair,66.9,57.0
0.7,Premium,62.6,59.0
0.77,Premium,61.8,56.0
0.77,Premium,59.8,61.0
0.8,Premium,61.5,60.0
1.19,Fair,65.1,59.0
0.82,Premium,59.9,59.0
0.77,Premium,60.9,58.0
0.76,Premium,61.1,58.0
0.74,Premium,61.8,58.0
1.12,Premium,60.6,59.0
0.72,Premium,62.7,58.0
0.8,Premium,62.7,58.0
0.81,Premium,62.5,59.0
0.73,Premium,62.0,60.0
0.71,Fair,64.6,59.0
0.71,Premium,59.6,60.0
0.75,Premium,62.8,60.0
0.72,Premium,61.4,59.0
0.72,Premium,61.1,59.0
0.91,Premium,62.8,59.0
0.25,Premium,61.2,59.0
0.25,Premium,60.7,59.0
0.25,Premium,61.5,60.0
0.31,Premium,60.8,58.0
0.31,Premium,59.8,60.0
0.31,Premium,62.3,57.0
0.31,Premium,58.7,60.0
0.31,Premium,62.7,58.0
0.31,Premium,60.8,60.0
0.31,Premium,59.9,60.0
0.31,Premium,61.1,58.0
0.31,Premium,60.7,61.0
0.31,Premium,62.3,60.0
0.31,Premium,61.7,59.0
0.31,Premium,61.0,61.0
0.31,Premium,62.4,57.0
0.31,Premium,62.8,58.0
0.31,Premium,60.9,60.0
0.7,Premium,61.0,60.0
0.7,Premium,60.9,57.0
1.05,Premium,58.3,57.0
0.8,Premium,61.2,60.0
1.0,Fair,65.2,54.0
1.0,Fair,66.0,56.0
1.0,Fair,67.0,55.0
0.71,Premium,61.4,58.0
0.71,Premium,60.8,59.0
0.71,Premium,60.6,58.0
0.71,Premium,59.7,59.0
0.91,Premium,62.0,59.0
0.83,Premium,62.2,59.0
0.74,Premium,62.5,60.0
0.73,Premium,62.2,56.0
0.71,Premium,59.7,57.0
0.71,Premium,59.1,59.0
0.9,Fair,64.1,66.0
0.9,Premium,58.7,60.0
1.2,Premium,60.5,58.0
0.81,Premium,61.2,56.0
0.81,Premium,61.3,60.0
0.9,Premium,59.5,60.0
0.7,Premium,60.3,58.0
0.9,Fair,65.0,58.0
0.7,Premium,62.0,61.0
0.7,Premium,61.0,57.0
0.73,Premium,59.9,58.0
0.91,Premium,60.2,52.0
1.17,Fair,65.4,62.0
0.8,Premium,62.0,60.0
0.76,Premium,58.3,62.0
0.76,Premium,59.6,57.0
0.95,Premium,58.8,60.0
0.77,Premium,59.5,60.0
0.8,Premium,59.9,58.0
0.82,Premium,62.6,59.0
0.75,Fair,56.0,67.0
0.71,Premium,61.1,58.0
1.03,Fair,65.7,59.0
0.76,Premium,61.6,59.0
1.01,Fair,67.1,59.0
0.73,Premium,60.9,59.0
0.9,Premium,60.9,56.0
0.9,Premium,62.5,58.0
0.9,Fair,66.4,60.0
0.9,Premium,60.6,60.0
1.0,Fair,65.8,58.0
0.99,Fair,58.0,67.0
0.71,Premium,62.1,60.0
0.79,Premium,63.0,59.0
0.72,Premium,61.1,59.0
0.72,Premium,61.4,59.0
0.89,Premium,62.2,62.0
0.7,Premium,60.4,58.0
0.98,Fair,61.6,66.0
0.79,Premium,62.3,58.0
0.74,Fair,65.2,58.0
0.72,Premium,61.5,60.0
0.73,Premium,61.9,56.0
0.73,Premium,62.7,56.0
0.71,Premium,62.1,53.0
0.75,Premium,61.9,61.0
0.96,Premium,60.4,56.0
0.82,Premium,62.4,56.0
0.7,Fair,64.5,57.0
0.9,Fair,65.7,59.0
0.9,Fair,65.4,60.0
0.9,Premium,62.1,62.0
1.0,Fair,65.7,54.0
1.5,Fair,65.6,54.0
1.05,Premium,61.4,58.0
0.9,Fair,64.6,58.0
0.31,Premium,60.8,61.0
0.31,Premium,61.2,61.0
0.32,Premium,60.2,58.0
0.92,Premium,59.2,60.0
1.13,Fair,64.8,59.0
0.71,Premium,58.7,61.0
1.06,Premium,61.5,57.0
0.52,Premium,60.1,58.0
0.78,Premium,62.6,57.0
0.91,Fair,64.9,57.0
0.81,Premium,62.6,58.0
1.0,Fair,69.3,58.0
0.7,Premium,62.2,58.0
0.83,Premium,61.6,59.0
0.77,Premium,60.4,58.0
0.76,Premium,60.9,58.0
0.86,Premium,61.8,58.0
0.91,Premium,60.2,59.0
0.9,Fair,65.8,59.0
0.71,Premium,62.6,58.0
1.0,Premium,62.5,62.0
0.82,Premium,62.3,60.0
0.77,Premium,61.7,58.0
0.83,Premium,61.3,58.0
1.06,Fair,61.0,66.0
1.01,Fair,65.1,57.0
1.24,Premium,61.9,55.0
0.81,Premium,62.0,58.0
0.81,Premium,61.7,58.0
0.91,Fair,65.3,51.0
1.01,Fair,66.0,56.0
0.85,Fair,57.7,67.0
1.02,Fair,61.5,60.0
0.87,Premium,61.6,58.0
0.7,Premium,60.6,60.0
0.74,Premium,62.7,58.0
0.74,Premium,60.9,62.0
0.7,Premium,60.2,61.0
0.9,Premium,60.6,60.0
0.7,Premium,61.6,61.0
0.71,Premium,62.1,60.0
0.8,Premium,60.6,59.0
0.73,Fair,58.6,66.0
1.01,Fair,64.6,56.0
0.65,Premium,59.9,58.0
0.81,Premium,61.9,58.0
0.92,Premium,60.2,61.0
0.71,Premium,61.1,58.0
0.55,Premium,60.3,59.0
0.7,Premium,62.7,53.0
0.82,Premium,62.5,59.0
1.2,Fair,64.9,59.0
1.2,Fair,62.2,66.0
1.2,Fair,66.2,55.0
1.0,Fair,55.4,62.0
0.75,Premium,61.6,58.0
0.9,Premium,62.2,60.0
1.01,Premium,61.1,61.0
0.7,Premium,61.8,58.0
0.96,Premium,62.8,60.0
1.12,Premium,60.3,60.0
0.7,Premium,62.5,59.0
0.77,Premium,62.4,59.0
0.7,Premium,62.2,56.0
0.93,Premium,61.4,56.0
0.78,Premium,60.4,57.0
0.75,Premium,62.1,57.0
0.72,Premium,60.4,61.0
0.9,Fair,65.6,57.0
0.72,Premium,62.5,59.0
0.75,Premium,61.7,60.0
0.75,Premium,59.2,58.0
1.02,Fair,66.8,55.0
1.0,Fair,64.9,57.0
1.02,Premium,61.7,58.0
0.77,Fair,66.8,57.0
0.72,Premium,58.9,58.0
0.92,Fair,64.4,58.0
0.91,Premium,63.0,57.0
0.74,Premium,62.4,59.0
0.32,Premium,60.5,58.0
0.32,Premium,62.5,60.0
0.32,Premium,59.8,59.0
0.32,Premium,60.7,59.0
0.32,Premium,62.3,58.0
0.32,Premium,61.9,58.0
0.32,Premium,61.7,58.0
0.32,Premium,61.7,60.0
0.32,Premium,62.3,58.0
0.7,Fair,64.9,59.0
0.92,Premium,61.5,59.0
0.81,Premium,61.9,59.0
0.72,Premium,60.2,60.0
0.73,Fair,66.0,54.0
0.91,Premium,60.1,62.0
0.91,Premium,62.8,59.0
0.72,Premium,58.7,59.0
0.72,Premium,60.5,57.0
0.72,Premium,62.6,54.0
1.03,Fair,66.1,56.0
0.79,Premium,62.3,56.0
0.79,Premium,61.3,59.0
1.01,Premium,61.1,60.0
1.01,Premium,61.9,58.0
1.01,Fair,66.1,58.0
1.01,Fair,68.1,59.0
0.82,Fair,64.9,58.0
0.79,Premium,61.4,59.0
0.91,Premium,61.6,58.0
0.71,Fair,62.8,57.0
0.7,Premium,58.7,60.0
0.9,Fair,65.7,63.0
0.71,Premium,62.2,59.0
0.71,Premium,62.0,61.0
0.93,Premium,60.3,58.0
0.76,Premium,61.7,62.0
0.62,Premium,61.9,59.0
1.03,Premium,60.8,57.0
0.9,Fair,67.0,56.0
0.71,Fair,64.7,58.0
0.71,Premium,60.3,62.0
0.72,Premium,62.5,59.0
0.83,Premium,62.7,56.0
0.91,Fair,62.5,66.0
1.0,Fair,66.6,57.0
1.0,Premium,59.4,60.0
1.0,Premium,62.8,60.0
0.82,Premium,61.1,60.0
0.71,Premium,58.6,62.0
0.86,Premium,61.3,59.0
0.8,Premium,60.1,58.0
0.8,Premium,61.1,58.0
0.92,Premium,62.1,60.0
1.01,Premium,59.4,62.0
0.81,Premium,62.9,59.0
0.9,Premium,60.7,61.0
0.9,Premium,59.5,61.0
0.9,Fair,64.5,55.0
0.9,Fair,65.8,58.0
0.9,Premium,63.0,57.0
0.81,Premium,61.2,60.0
1.02,Fair,64.5,56.0
0.84,Premium,59.2,59.0
0.79,Premium,60.7,60.0
0.71,Premium,58.1,62.0
0.92,Premium,60.9,62.0
1.2,Premium,60.3,58.0
0.8,Premium,62.9,60.0
0.94,Premium,62.3,59.0
0.9,Premium,62.4,56.0
0.91,Premium,62.1,56.0
0.81,Premium,60.3,59.0
0.94,Premium,63.0,59.0
0.71,Premium,62.2,59.0
0.78,Premium,61.8,59.0
0.9,Fair,55.9,62.0
0.9,Fair,64.7,58.0
0.7,Premium,62.6,59.0
0.9,Premium,62.4,61.0
0.9,Fair,65.6,58.0
0.75,Premium,58.9,60.0
0.7,Premium,61.2,56.0
0.9,Premium,59.6,59.0
0.72,Premium,61.6,59.0
0.32,Premium,61.0,59.0
0.32,Premium,61.3,60.0
0.32,Premium,62.3,60.0
0.32,Premium,62.0,58.0
0.32,Premium,62.6,59.0
0.32,Premium,62.6,60.0
0.32,Premium,60.6,60.0
0.32,Premium,60.2,60.0
0.32,Premium,62.1,60.0
0.32,Premium,61.9,59.0
0.32,Premium,62.4,58.0
0.32,Premium,61.5,58.0
0.32,Premium,61.5,60.0
0.32,Premium,61.9,59.0
0.76,Premium,63.0,59.0
0.76,Premium,60.3,60.0
0.81,Premium,61.7,58.0
0.74,Premium,62.4,59.0
0.75,Premium,59.9,61.0
0.7,Premium,61.9,59.0
0.79,Premium,61.4,59.0
0.84,Premium,59.0,59.0
0.92,Fair,64.9,58.0
1.08,Premium,61.7,59.0
1.16,Fair,68.2,55.0
1.02,Premium,62.3,58.0
1.02,Fair,65.0,59.0
0.91,Fair,64.5,60.0
0.9,Premium,61.8,58.0
0.9,Premium,62.1,59.0
0.93,Premium,61.1,59.0
0.73,Premium,61.9,57.0
0.74,Premium,60.0,57.0
0.81,Premium,60.7,58.0
0.7,Premium,62.6,59.0
1.0,Fair,66.6,59.0
0.8,Premium,59.6,59.0
1.0,Premium,62.3,58.0
1.0,Fair,67.0,53.0
1.0,Fair,67.0,53.0
1.0,Premium,62.5,59.0
0.72,Premium,61.4,58.0
1.02,Premium,62.5,60.0
0.9,Premium,60.4,59.0
1.0,Premium,59.1,59.0
1.0,Fair,64.6,67.0
1.0,Premium,61.5,56.0
1.0,Fair,68.3,54.0
0.9,Premium,60.7,58.0
0.9,Fair,65.4,57.0
0.9,Fair,65.6,56.0
0.9,Fair,65.4,59.0
0.9,Fair,66.8,55.0
0.74,Premium,61.2,59.0
0.78,Premium,60.9,55.0
1.0,Fair,65.5,56.0
1.03,Fair,64.6,62.0
1.03,Premium,62.2,59.0
0.75,Premium,61.8,58.0
0.95,Fair,58.0,66.0
1.22,Premium,62.6,59.0
1.06,Premium,60.3,58.0
0.82,Premium,61.7,56.0
0.9,Fair,66.0,57.0
0.71,Premium,62.4,59.0
0.71,Premium,59.2,59.0
1.0,Fair,63.7,54.0
0.92,Premium,60.7,59.0
0.87,Fair,57.3,59.0
1.01,Premium,58.1,59.0
0.72,Premium,62.2,57.0
1.01,Fair,64.5,54.0
0.74,Premium,61.7,57.0
1.09,Fair,66.3,56.0
1.03,Premium,61.1,60.0
0.84,Fair,65.0,57.2
0.93,Fair,66.1,58.1
1.01,Premium,60.1,58.0
1.01,Fair,68.5,63.0
0.92,Premium,60.4,59.0
0.7,Premium,62.9,61.0
0.9,Premium,61.9,61.0
0.9,Premium,62.3,56.0
1.0,Fair,65.3,57.0
1.5,Fair,69.3,61.0
0.32,Premium,62.5,58.0
0.32,Premium,62.1,59.0
0.32,Premium,60.8,59.0
0.32,Premium,61.1,58.0
0.32,Premium,62.3,58.0
0.32,Premium,61.5,60.0
0.32,Premium,60.7,58.0
0.32,Premium,61.5,59.0
0.32,Premium,61.2,59.0
0.91,Fair,64.4,60.0
0.91,Fair,64.8,57.0
0.91,Premium,62.2,56.0
0.95,Premium,62.6,58.0
0.95,Premium,59.8,60.0
1.11,Premium,61.8,59.0
0.7,Premium,60.9,60.0
0.72,Premium,60.1,58.0
0.9,Fair,57.5,68.0
0.96,Premium,62.9,59.0
1.01,Premium,62.4,60.0
0.89,Premium,61.1,58.0
0.92,Premium,62.9,60.0
1.01,Fair,65.8,55.0
0.76,Premium,60.1,59.0
1.0,Fair,64.4,57.0
0.81,Premium,61.4,60.0
0.81,Premium,62.9,58.0
0.54,Premium,61.4,57.5
1.01,Fair,66.1,60.0
0.83,Premium,62.0,59.0
0.7,Premium,61.0,59.0
1.0,Fair,56.3,64.0
1.02,Premium,62.5,60.0
0.7,Premium,63.0,60.0
1.11,Premium,61.0,59.0
0.71,Fair,58.7,62.0
0.9,Premium,62.7,59.0
0.9,Fair,65.9,59.0
0.9,Fair,66.0,58.0
0.9,Fair,64.7,54.0
0.9,Fair,65.7,60.0
0.9,Fair,64.7,59.0
0.9,Premium,59.0,61.0
0.72,Premium,60.6,57.0
0.75,Premium,61.8,58.0
0.7,Premium,61.5,60.0
0.9,Premium,62.6,62.0
0.9,Premium,61.9,62.0
0.91,Fair,64.9,56.0
0.73,Premium,60.7,61.0
0.77,Premium,59.5,58.0
0.82,Premium,61.2,61.0
0.81,Premium,60.8,59.0
0.7,Premium,62.9,59.0
0.96,Fair,56.1,60.0
0.96,Premium,62.7,60.0
1.1,Premium,60.0,58.0
0.71,Premium,59.2,59.0
0.77,Premium,62.1,59.0
1.15,Premium,60.4,58.0
0.82,Premium,61.2,60.0
1.01,Premium,62.9,58.0
0.9,Premium,61.3,55.0
0.8,Premium,59.4,55.0
0.9,Fair,65.5,57.0
0.74,Premium,62.7,58.0
0.7,Premium,61.6,60.0
0.96,Premium,62.7,58.0
0.79,Premium,59.4,60.0
0.81,Premium,61.0,59.0
0.7,Premium,62.8,58.0
0.77,Premium,60.5,59.0
0.95,Premium,62.5,58.0
0.85,Premium,61.0,58.0
0.7,Premium,60.6,58.0
0.9,Premium,62.1,58.0
0.9,Premium,61.1,58.0
1.03,Fair,56.2,62.0
0.9,Fair,65.4,60.0
0.25,Fair,61.2,55.0
0.9,Premium,62.8,61.0
1.0,Fair,66.5,62.0
0.72,Premium,61.1,58.0
0.9,Fair,65.2,59.0
0.93,Premium,62.3,60.0
0.73,Premium,59.8,58.0
0.9,Premium,61.8,58.0
0.93,Fair,64.7,58.0
0.77,Premium,60.8,56.0
1.04,Premium,61.6,61.0
0.91,Premium,62.5,56.0
1.11,Premium,61.0,59.0
0.7,Premium,61.7,59.0
1.0,Fair,65.7,58.0
1.0,Fair,65.1,55.0
1.0,Fair,65.1,55.0
0.81,Premium,62.8,58.0
0.81,Premium,62.4,59.0
1.12,Premium,60.7,61.0
0.81,Premium,62.3,56.0
0.96,Premium,60.3,59.0
0.81,Premium,60.8,59.0
1.1,Premium,59.3,62.0
0.9,Premium,58.4,62.0
0.9,Premium,59.6,60.0
0.9,Fair,67.6,56.0
1.0,Premium,62.0,62.0
0.91,Fair,65.3,62.0
1.01,Fair,65.5,58.0
0.9,Fair,61.4,61.0
0.91,Premium,63.0,58.0
0.92,Fair,65.3,58.0
0.92,Fair,65.1,58.0
0.92,Premium,58.1,58.0
0.92,Premium,58.9,59.0
0.74,Premium,62.7,58.0
0.8,Premium,62.4,59.0
0.94,Fair,68.4,53.0
0.8,Premium,59.7,58.0
1.03,Premium,58.4,60.0
0.9,Fair,60.9,66.0
1.02,Fair,66.2,57.0
0.77,Premium,60.5,59.0
0.77,Premium,61.8,58.0
0.9,Premium,63.0,59.0
0.9,Premium,62.6,62.0
1.05,Premium,62.2,61.0
1.0,Premium,62.7,58.0
1.01,Fair,64.6,59.0
0.7,Premium,61.7,59.0
0.74,Premium,58.0,59.0
0.82,Premium,62.5,56.0
1.01,Premium,62.4,60.0
0.7,Fair,58.5,62.0
1.07,Premium,62.5,59.0
0.8,Premium,61.5,58.0
1.01,Premium,60.9,60.0
0.77,Premium,60.8,59.0
0.96,Fair,69.7,59.0
0.7,Premium,62.4,56.0
1.08,Fair,64.9,60.0
0.9,Premium,61.1,58.0
1.0,Fair,64.8,60.0
1.0,Fair,65.8,55.0
0.73,Premium,59.8,58.0
0.26,Premium,59.8,61.0
0.35,Premium,61.6,58.0
0.34,Premium,59.3,60.0
0.34,Premium,59.8,58.0
0.76,Premium,60.7,58.0
0.73,Premium,61.2,58.0
0.81,Premium,62.1,58.0
0.81,Premium,61.6,58.0
0.73,Premium,60.9,61.0
0.8,Premium,62.7,59.0
0.8,Premium,61.7,58.0
0.9,Premium,58.1,60.0
0.9,Premium,62.5,59.0
0.74,Premium,61.2,58.0
0.9,Premium,61.0,61.0
1.02,Premium,58.3,59.0
0.93,Premium,61.3,62.0
0.92,Premium,62.3,59.0
0.86,Premium,61.9,61.0
0.81,Fair,64.8,56.2
0.92,Fair,66.0,57.0
0.9,Premium,62.1,59.0
0.9,Fair,65.3,61.0
0.9,Premium,59.2,60.0
0.9,Premium,60.1,59.0
0.9,Premium,59.5,61.0
